1,285
2,51
3,34
4,120
5,37
6,14
7,239
8,153
9,188
10,54
11,161
12,229
13,87
14,117
15,169
16,15
17,40
18,3
19,45
20,37
21,15
22,227
23,144
24,80
25,142
26,30
27,22
28,198
29,20
30,30
31,93
32,53
33,50
34,2
35,2
36,1
37,1
38,30
39,38
40,18
41,13
42,95
43,10
44,38
45,55
46,16
47,78
48,93
49,33
50,449
51,45
52,56
53,50
54,40
55,97
56,285
57,30
58,101
59,66
60,46
61,41
62,42
63,26
64,248
65,69
66,84
67,43
68,68
69,221
70,156
71,132
72,52
73,61
74,3
75,3
76,27
77,60
78,6
79,258
80,16
81,61
82,161
83,138
84,6
85,18
86,110
87,95
88,125
89,217
90,35
91,82
92,64
93,71
94,48
95,142
96,219
97,165
98,335
99,100
100,363
101,32
102,21
105,11
106,20
107,22
108,24
109,62
110,6
111,136
112,3
113,7
114,57
115,9
116,79
117,218
118,121
119,3
120,10
121,209
122,14
123,46
124,127
125,114
126,56
127,314
128,33
129,82
130,5
131,61
132,179
133,116
134,162
135,187
136,85
137,109
138,5
139,8
140,25
141,38
142,20
143,138
144,162
145,11
146,2
147,90
148,47
149,7
150,96
151,179
152,50
153,158
154,100
155,35
156,110
157,80
158,8
159,39
160,39
161,111
162,51
163,52
164,83
165,50
166,43
167,17
168,237
169,101
170,97
171,44
172,287
173,241
174,338
175,139
176,208
177,93
178,106
179,158
180,166
181,340
182,163
183,218
184,61
185,183
186,165
187,166
188,102
189,51
190,101
191,219
192,94
193,114
194,177
195,213
196,184
197,185
198,95
199,133
200,134
201,46
202,176
203,130
204,231
205,90
206,26
207,43
208,139
209,134
210,231
211,149
212,51
213,98
214,54
215,124
216,210
217,44
218,84
219,48
220,27
221,48
222,206
223,114
224,27
225,30
226,71
227,73
228,147
229,51
230,95
231,27
232,34
233,57
234,182
235,56
236,27
237,228
238,174
239,74
240,48
241,70
242,68
243,22
244,19
245,62
246,83
247,1
248,103
249,51
250,107
251,32
252,44
253,9
254,11
255,78
256,9
257,173
258,273
259,35
260,29
261,7
262,38
263,3
264,17
265,148
266,9
267,4
268,139
269,162
270,63
271,75
272,128
273,113
274,91
275,185
276,171
277,36
278,23
279,14
280,32
281,46
282,132
283,103
284,75
285,125
286,225
287,44
288,191
289,80
290,34
291,58
292,51
293,97
294,148
295,32
296,1
297,35
298,118
299,21
300,188
301,88
302,185
303,69
304,59
305,42
306,55
307,84
308,8
309,6
310,64
311,35
312,25
313,209
315,92
316,78
317,74
318,256
319,57
320,12
321,41
322,60
323,57
324,46
325,28
326,71
327,60
328,119
329,13
330,14
331,46
332,57
333,110
334,27
335,4
336,9
337,7
338,22
339,14
340,87
341,4
342,15
343,36
344,30
345,28
346,60
347,57
348,11
349,8
350,14
351,4
352,5
353,4
354,33
355,11
356,47
357,223
358,25
359,7
360,4
361,3
362,4
363,11
364,7
365,18
366,21
367,86
368,2
369,14
370,9
371,26
372,20
373,11
374,2
375,2
376,3
377,1
378,64
379,15
380,49
381,53
382,58
383,1
384,14
385,119
386,18
387,32
388,3
389,12
390,4
391,12
392,36
393,96
394,6
395,10
396,18
397,2
398,3
399,37
400,5
401,19
402,85
403,101
404,59
405,141
406,7
407,7
408,93
409,27
410,69
411,46
412,12
413,13
414,36
415,5
416,32
417,24
418,68
419,109
420,48
421,66
422,6
423,194
425,57
426,11
427,188
428,83
429,74
430,67
431,85
432,111
433,101
434,45
435,146
436,52
440,1
441,8
443,107
444,12
445,12
446,2
447,63
448,35
449,36
450,10
451,86
452,13
453,1
454,4
455,61
456,4
457,2
458,31
459,17
460,10
461,41
462,98
463,50
464,16
465,46
466,31
467,31
468,29
469,47
470,61
471,118
472,47
473,43
474,152
475,161
476,47
477,41
478,83
479,159
480,152
481,41
482,92
483,212
484,109
485,78
486,41
487,51
488,53
489,42
490,40
491,45
492,41
493,48
494,41
495,36
496,173
497,44
498,124
499,45
500,24
501,61
502,36
503,23
504,78
505,51
506,60
507,67
508,118
509,88
510,85
511,143
512,40
513,64
514,123
515,148
516,45
517,59
518,59
519,67
520,92
521,79
522,18
523,122
524,34
525,53
526,82
527,142
528,95
529,68
530,60
531,90
532,8
533,10
534,6
535,18
536,4
537,20
538,26
539,7
540,3
541,13
542,9
543,12
544,31
546,87
547,18
548,1
549,52
550,65
551,3
552,13
553,26
554,29
555,2
556,1
557,8
558,45
559,49
560,4
561,18
562,18
563,3
564,2
565,4
566,97
567,10
568,142
569,13
570,20
571,3
572,4
573,11
574,3
575,6
576,31
577,4
578,33
579,4
580,14
581,27
582,96
583,14
584,43
585,9
586,7
587,8
588,138
589,27
590,2
591,96
592,3
593,6
595,20
596,53
597,71
600,1
601,13
602,31
603,179
604,57
605,14
606,49
607,48
608,25
609,32
610,26
611,29
612,24
613,21
614,31
615,45
616,31
617,12
618,9
619,22
620,14
621,4
622,17
623,9
624,10
625,28
626,2
627,31
628,89
629,32
630,12
631,68
632,38
633,50
634,15
635,6
636,35
637,10
638,30
639,26
640,32
641,29
642,46
643,1
644,19
645,17
646,26
647,52
648,50
649,24
650,38
651,131
652,63
653,25
654,110
655,153
656,34
657,111
658,35
659,88
660,92
661,68
662,37
663,83
664,24
665,28
