userId,movieId,rating,timestamp
158,236,5.0,879966609
108,539,5.0,875270655
533,219,4.0,879788101
631,355,5.0,889076851
32,411,4.0,877560833
321,59,4.0,876404426
691,67,5.0,883705502
482,37,5.0,879541112
22,121,4.0,884922451
201,8,5.0,891015144
649,909,4.0,891332122
540,315,5.0,874864034
0,169,4.0,884126600
399,98,5.0,881109420
696,50,5.0,875962049
540,968,5.0,874866319
55,46,4.0,878091915
67,549,4.0,880608133
520,489,5.0,879456438
60,209,4.0,884304955
262,114,4.0,879959488
653,196,4.0,884290676
317,196,4.0,884991396
382,8,4.0,880886978
602,280,5.0,889986580
450,305,4.0,882397020
426,314,5.0,880142851
267,63,5.0,884749255
626,56,4.0,874777528
725,314,4.0,878847954
18,877,4.0,891351384
121,404,5.0,880130890
738,167,5.0,881975687
35,332,4.0,883326919
55,392,4.0,878090153
572,506,5.0,890024325
749,13,4.0,888540279
869,736,4.0,888479582
12,61,5.0,876860807
502,183,5.0,876065558
172,613,4.0,883524475
13,409,5.0,882075994
614,132,5.0,879531158
568,286,5.0,885778170
734,487,4.0,889133429
450,40,4.0,882393008
587,134,4.0,879424661
39,216,5.0,879521087
228,16,4.0,879543902
148,63,4.0,889654971
68,697,4.0,882141686
591,554,4.0,880407079
156,23,5.0,881367705
29,382,4.0,888206094
553,325,5.0,891037333
5,173,4.0,874867757
353,215,5.0,877486953
672,179,4.0,881179631
203,388,4.0,887730342
293,280,5.0,888098276
164,201,4.0,875385386
593,500,4.0,880925074
82,710,5.0,874953525
374,329,5.0,879916076
220,236,5.0,876311387
55,769,5.0,878092104
450,386,4.0,882396935
514,192,4.0,886101610
171,406,4.0,877557076
295,147,5.0,879538255
416,1165,4.0,885944024
90,691,5.0,880308390
32,222,4.0,881105318
892,918,5.0,880160123
771,73,4.0,888979075
8,207,4.0,889502980
279,55,5.0,887745463
738,581,4.0,881976233
687,130,4.0,889488754
486,58,5.0,891293606
540,470,4.0,875663543
863,169,4.0,882676259
427,836,4.0,887770547
130,212,5.0,891299514
9,257,5.0,887739257
98,107,4.0,879518414
884,1341,4.0,881379566
668,26,5.0,875810574
202,409,4.0,884207424
272,128,5.0,887853919
818,174,4.0,875038671
432,494,4.0,883391167
763,198,5.0,882843646
399,617,4.0,881107817
474,83,5.0,883443504
89,14,4.0,884238997
737,110,4.0,891018435
889,236,5.0,883490041
33,262,4.0,884110637
613,289,4.0,880116818
313,26,5.0,879438196
132,459,5.0,888906428
396,909,5.0,877399066
695,714,4.0,888882133
472,104,4.0,881449737
120,586,5.0,874786657
387,162,5.0,889428642
133,123,4.0,875636308
807,13,4.0,881101641
497,478,4.0,878759745
465,45,5.0,889395638
324,682,4.0,884991105
267,290,5.0,884750992
656,113,5.0,880570142
495,162,4.0,888631208
577,748,4.0,884067151
456,846,4.0,875983231
108,550,4.0,879161848
497,1079,4.0,879363253
2,681,4.0,876521700
474,178,5.0,883530236
877,495,4.0,880177246
208,128,4.0,886047026
896,111,4.0,879723046
83,467,4.0,882164603
441,356,5.0,888265376
336,504,5.0,886273914
19,792,4.0,877889186
321,254,4.0,876403078
250,154,4.0,883461108
40,215,5.0,882823857
309,176,4.0,891035035
298,172,4.0,885700778
8,630,5.0,889502159
25,213,5.0,885678785
751,130,4.0,889028581
417,207,4.0,882387731
836,803,4.0,882812288
725,597,5.0,878846812
437,563,5.0,882473914
107,104,4.0,880132513
43,721,4.0,878973126
518,64,4.0,883348543
379,62,5.0,887744578
749,168,4.0,888539232
558,280,4.0,883702447
651,596,4.0,876524096
40,362,4.0,882824253
59,322,4.0,886988535
881,334,5.0,880415903
674,959,4.0,884153712
812,404,4.0,885690677
279,1034,5.0,887822736
557,61,4.0,879196105
371,125,5.0,886483099
696,192,4.0,875963998
161,434,5.0,891271676
856,120,4.0,879428406
265,104,4.0,882922562
688,391,5.0,886287236
437,286,4.0,882396245
48,1017,4.0,875313600
83,141,4.0,882164603
836,329,4.0,882812165
45,834,4.0,879193353
80,549,4.0,886474456
574,10,5.0,882956276
334,247,4.0,891217249
703,215,4.0,884715122
802,46,4.0,874793049
251,454,4.0,890454310
614,538,4.0,879531301
643,201,4.0,883538847
717,211,5.0,880310264
56,412,4.0,885848672
18,13,4.0,891351002
849,564,4.0,888890102
826,283,5.0,890862563
94,111,4.0,883602762
593,701,4.0,880924323
862,565,5.0,880243712
859,56,5.0,877109874
95,46,5.0,877819999
112,82,4.0,879139003
374,9,4.0,879915860
553,696,4.0,891037837
542,126,4.0,882157011
355,563,4.0,877098643
120,467,5.0,880913800
706,195,4.0,886403578
13,718,4.0,882078250
72,262,4.0,879466166
738,26,5.0,881975119
914,301,4.0,891251153
650,451,4.0,889492562
388,8,4.0,891033523
337,492,5.0,880355994
180,159,4.0,883108842
920,204,4.0,874854251
703,46,4.0,884642479
754,512,5.0,876190753
830,657,4.0,878939153
255,134,4.0,879440612
537,401,4.0,876961190
30,85,5.0,879875940
806,592,5.0,878439391
491,987,5.0,887911730
262,120,4.0,879960826
582,328,4.0,880951144
694,61,4.0,883354940
300,499,4.0,889237455
124,196,5.0,876198392
255,183,5.0,879440245
564,250,5.0,880475363
110,312,4.0,884196258
219,128,4.0,882693234
309,229,4.0,891032121
451,168,4.0,886396390
914,134,4.0,891249675
872,59,5.0,879866320
6,714,5.0,886175117
435,107,4.0,878855682
887,728,4.0,879993713
697,139,4.0,879795790
474,274,5.0,883531333
108,69,5.0,875272132
222,87,4.0,882820730
424,107,4.0,884131157
79,448,4.0,887401677
831,215,4.0,887038397
821,455,4.0,891033675
450,301,4.0,882392853
19,111,4.0,877889004
661,647,5.0,887762430
208,499,4.0,886046979
867,963,5.0,876539186
515,661,4.0,887788806
255,68,4.0,879439706
523,60,4.0,882359962
894,386,4.0,891033522
712,114,5.0,875242663
106,460,5.0,881288265
498,128,5.0,889963959
369,17,5.0,880869422
417,221,5.0,882386711
18,141,5.0,891351585
43,319,5.0,878971514
24,63,5.0,879572600
40,322,5.0,882827375
474,6,5.0,883529363
574,1020,5.0,882607910
39,33,4.0,879524216
814,411,4.0,891380166
29,341,5.0,888205265
15,9,5.0,880474327
515,242,4.0,887041540
682,635,4.0,875727399
542,510,4.0,882156677
398,332,5.0,875042865
874,460,5.0,876031695
120,321,5.0,889174849
110,597,5.0,884196805
585,341,5.0,876349251
822,608,4.0,891205069
6,237,5.0,886176922
130,167,4.0,891298914
350,438,5.0,891293008
480,520,4.0,884130439
867,27,4.0,879051511
220,714,4.0,879788290
45,460,5.0,879198697
394,953,5.0,885548435
25,571,5.0,885679353
877,26,4.0,880176845
932,343,5.0,886832808
49,344,5.0,879373820
470,26,5.0,891207715
494,909,4.0,874874947
688,946,4.0,879439418
828,315,5.0,883948048
129,3,4.0,877127815
547,899,4.0,885808796
46,397,5.0,879362234
451,344,5.0,886395899
738,312,5.0,880672230
4,463,4.0,879270327
560,202,5.0,880952271
283,259,5.0,885044566
860,128,5.0,886883539
548,103,5.0,880506528
157,115,5.0,889125287
53,442,4.0,880245056
